,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
30,spotify:track:4YQImHflXSiIMXntcwPkx8,Bongos (feat. Megan Thee Stallion),Cardi B,True,0.726,0.738,0,-4.788,0.355,0.0791,0.0,0.0297,0.896,121.953,84,
31,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,True,0.715,0.62,1,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,92,
32,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,True,0.75,0.733,6,-3.18,0.0319,0.256,0.0,0.114,0.844,111.018,96,"[Intro](Woo)[Verse 1]He said, ""Are you serious? I've tried, but I can't figure outI've been next to you all night and still don't know what you're aboutYou keep ta- (Ta-ta-), talkin', but not much comin' out your mouthCan't you tell that I want you?"" I say, yeah[Chorus]I would want myselfBaby, please believe meI'll put you through hellJust to know me, yeah, yeahSo sure of yourselfBaby, don't get greedyThat shit won't end wellNo, it won't end well[Interlude](Uh-uh, uh-uh-uh, uh-uh, woo)[Verse 2]I see you eyein' me down, but you'll never know much past my nameOr how I'm runnin' this room around and that I'm still half your ageYeah, you're loo- (Loo-loo-), lookin' at me like I'm some sweet escapeObvious that you want me, but I said"
33,spotify:track:22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),Noah Kahan,True,0.667,0.613,8,-7.147,0.0313,0.121,0.0,0.113,0.681,112.046,86,
34,spotify:track:6KaKmX6EIu3x2057HoZwQF,Watermelon Moonshine,Lainey Wilson,False,0.739,0.413,1,-6.709,0.0282,0.47,2.51e-05,0.131,0.649,139.921,76,[Verse 1]It was right after senior yearJust before the summer disappearedWe went a-ridin' them old farm rutsHangin' out on the gate of his truckWe threw a blanket 'neath the sunsetBein' brave as eighteen getsWe gave each other more than our heartsWith the help of a mason jar[Chorus]Drinkin' watermelon moonshineCut the burn with a little limeParkin' back in them kudzu vinesI was his and every bit of that boy was minеToo young to know what love wasBut we werе learnin' on a sweet buzzThere's never nothin' like the first timeAnd mine's always gonna taste likeWatermelon moonshine[Verse 2]I don't remember where we got it fromI just remember feelin' all grown upTakin' pulls like it ain't no thingNever told him it was my first drinkBut I told him that he was the oneYou're so sure when you're that youngYou think you got it all figured outAnd now I laugh when I think about
35,spotify:track:34sOdxWu9FljH84UXdRwu1,all-american bitch,Olivia Rodrigo,True,0.43,0.692,6,-4.234,0.0429,0.254,4.17e-06,0.148,0.401,156.261,90,"[Verse 1]I am light as a feather, I'm as stiff as a boardI pay attention to things that most people ignoreAnd I'm alright with the moviesThat make jokes 'bout senseless cruelty, that's for sureAnd I am built like a mother and a total machineI feel for your every little issue, I know just what you meanAnd I make light of the darknessI've got sun in my motherfuckin' pocket, best believeYeah, you know me, I[Chorus]Forgive, and I forgetI know my age, and I act like itGot what you can't resistI'm a perfect all-American[Verse 2]I am light as a feather, I'm as fresh as the airCoca-Cola bottles that I only use to curl my hairI got class and integrityJust like a goddamn Kennedy, I swearWith love to spare, I[Chorus]Forgive, and I forgetI know my age, and I act like itGot what you can't resistI'm a perfect all-American bitchWith perfect all-American lipsAnd perfect all-American hipsI know my placeI know my place, and this is it"
36,spotify:track:7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,Peso Pluma,True,0.646,0.736,5,-7.118,0.0449,0.216,0.0,0.415,0.873,140.098,95,
37,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,Karma (feat. Ice Spice),Taylor Swift,True,0.615,0.616,8,-6.523,0.0622,0.0623,0.0,0.579,0.0734,89.977,75,
38,spotify:track:1xnAVO60FwWTRa7LJPoNKG,Long Journey,Rod Wave,True,0.656,0.577,4,-10.746,0.14,0.0682,0.0,0.0818,0.418,93.015,75,"[Intro]MhmLook, look[Verse]Rollin' up back to back, got the smoke in my lungsYoung nigga on the block with his hand on his gun (Grrah)One up top, 'cause they prepared where I'm fromLet your nuts drop, you can't be scared where I'm fromFast forward, grandma, pray for your baby (Pray for your baby)Mama, look at your son, I finally made itThat rap shit you hated takin' me placesMy life been so crazy, just a lil' teenagerI never thought that I could take it from out of my hoodI know they thought I was crazy, just misunderstood (Misunderstood)I swear I love goin' on tour, the feelin' is goodIf I could wrap my arms around this memory, man, I would'Cause when I'm fresh off the road, my heart start breakin'I don't know where to go, young, rich, lost, and famousI'm in love with miss lady, but I just can't take itEvery day, I been prayin' I become more patientAnd I know the sayin', more money, more problems, nahMore money, more people with they money problems lookin' for you to solve 'emBut I thank God for the dough, tell 'em fifty for a showAnd I see niggas hatin', but God watchin'Gotta stay prayed up, my God got meLife ain't easy, but every day, it's a blessingThis life that I'm living, sometimes it's wild and hectic (Yes, it is)It's hectic, but—"
39,spotify:track:7ry34dFOuoK2c5GoYWWsl3,Nostalgia,Rod Wave,True,0.498,0.695,7,-6.891,0.157,0.868,4.03e-06,0.127,0.707,81.186,74,"[Chorus: Wet]Where did the day go?I never get to see youAnd I never get to feel you, oohAn ocean between usThe feeling below usWatch as the distanceLeads to the falloutThe sun is settin' nowSomewhere in the back of your mindThe leaves are fallin' downAnd I cling to the vineWhere did the day go?I never get to see youI never get to feel you, ooh[Verse: Rod Wave]Uh, damn, youngin, where have you been? Swear it been a minutеOn a late flight from Dallas, on the way back to the cityTryna balancе out my life, I been so booked and busyDisconnected from the trenches, but my heart forever in itI'm still in this motherfucker with the ones I started withI don't need no brand-new friends, only partnershipsI don't want no fairy tale Instagram model chickI don't have the time for the party and the arguin''Member them small clubs? Hole in the wall clubsFive-hundred-dollar backends in all dubsThese days, it ain't the same, everything done changedYoungin get up on stage, seven-fifty for his painAt the basketball arena, but they here for the WaveThis motherfucker packed like a playoff gameAll the women in my life could easily feel a distanceWhat's the point of havin' my heart if my mind busy?All these niggas claimin' it's love, but I don't get itI don't never ever feel love, only tensionUsed to look up to rappers, but arrivin' what did itAin't no friends in this business, cutthroat competitionLot of niggas get inside this position and lose the visionSo I'm focused more than ever, been grindin' like we ain't winnin'I was stuck inside that bottom with problems, gettin' evictedNow it's back-to-back tours two summers for sixty million"
40,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,Love You Anyway,Luke Combs,False,0.532,0.489,4,-7.419,0.0311,0.149,0.0,0.237,0.32,139.807,70,"[Verse 1]If your kiss turned me to stoneI'd be a statue standing tall in ancient RomeAnd if your touch shattered me like glassI’d be in pieces trying to make the breaking last[Pre-Chorus]If it took one look to turn my days to nightAt least I'd have the stars that sparkle in your eyes[Chorus]There's just some things that leave a man no choiceLike a compass needle needing its true NorthEven if I knew the day we met you’d be the reason this heart breaksOh, I'd love you anyway[Verse 2]I know just tryin' to write a songI run the risk that I could get your perfect wrongAnd well, I guess what I'm tryin' to sayIs there ain't words been made could shoulder so much weight[Pre-Chorus]And if you turned your back on me and walked awayNot a thing about the way I feel would change"
41,spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,Peaches & Eggplants (feat. 21 Savage),Young Nudy,True,0.911,0.536,4,-7.884,0.282,0.00897,3.73e-06,0.111,0.584,146.014,79,
42,spotify:track:1O8zCu3dLLPxkbGfIsbRgE,What It Is (Block Boy) (with Kodak Black),Doechii,True,0.731,0.744,1,-5.77,0.174,0.109,0.0,0.123,0.727,171.859,77,
43,spotify:track:3XB5uhhlYSnkxpSihkNQwh,QLONA,KAROL G,True,0.842,0.756,7,-7.409,0.338,0.525,2.21e-06,0.0871,0.421,169.925,90,"[Letra de ""QLONA""][Refrán: KAROL G, KAROL G & Peso Pluma]Ayer te vi solitaEsa carita bonitaDiablo, qué mamacitaEstás provocándome aunque lo haces sin quererYa por ti pregunté y hace más de un mesTe dejaste con el bobo aquel[Coro: KAROL G & Peso Pluma]Qué hijueputas ganas tengo de besarteTe vi en una foto y te imaginé sin ropaTe mentiría si no estoy loca por verteCon ese jeancito cómo te ves de culonaQué hijueputa gana tengo de besarteTe vi en una foto y tе imaginé sin ropaTe mentiría si no estoy loco por dartеCon ese jeancito cómo te ves de culona[Verso 1: KAROL G]Nos vamos de guayeteo, fumeteo, en la disco mero perreoTe pusiste minifalda pa' ver si yo te gateoUn besito pa' sentir ese goteoY prendí la cámara pa' grabarte un video"
